,Category,Word,FirstLetter,Word.1,Freq
0,Beruf,Abdecker,A,,5.0
1,Beruf,Abdeckerei,A,,3.0
2,Beruf,Abfallbeauftragte,A,,2.0
3,Beruf,Abfallberater,A,,2.0
4,Beruf,Abfallberaterin,A,,5.0
5,Beruf,Abfüller,A,,8.0
6,Beruf,Abgeordnete,A,,900.0
7,Beruf,Abgeordnete/r,A,,1.0
8,Beruf,Abgeordnetenbüro,A,,4.0
9,Beruf,Abgeordnetenentschädigung,A,,3.0
10,Beruf,Abgeordneter,A,,510.0
11,Beruf,Abiturient,A,,52.0
12,Beruf,Abiturientin,A,,27.0
13,Beruf,Ableser,A,,5.0
14,Beruf,Abmahnanwalt,A,,2.0
15,Beruf,Abmahner,A,,33.0
16,Beruf,Abnahmeingenieur,A,,1.0
17,Beruf,Abschirmdienst,A,,7.0
18,Beruf,Abschleppdienst,A,,37.0
19,Beruf,Abschlussprüfer,A,,18.0
20,Beruf,Abschnittsleiter,A,,2.0
21,Beruf,Abschnittsleiterin,A,,1.0
22,Beruf,Abstimmungsvorstand,A,,1.0
23,Beruf,Abt,A,,476.0
24,Beruf,Abteilungsleiter,A,,307.0
25,Beruf,Abteilungsleiterin,A,,61.0
26,Beruf,Abteilungsmeister,A,,1.0
27,Beruf,Abwassertechniker,A,,1.0
28,Beruf,Abwehrspezialist,A,,2.0
29,Beruf,Account-Manager,A,,2.0
30,Beruf,Account-Managerin,A,,1.0
31,Beruf,Ackerbauer,A,,4.0
32,Beruf,Adjutant,A,,64.0
33,Beruf,Admiralarzt,A,,1.0
34,Beruf,Admiralstabsoffizier,A,,2.0
35,Beruf,Advokat,A,,23.0
36,Beruf,Advokatur,A,,1.0
37,Beruf,Aerobic-Trainerin,A,,1.0
38,Beruf,Aeronaut,A,,1.0
39,Beruf,AfD-Mitglied,A,,8.0
40,Beruf,Afrikaforscher,A,,3.0
41,Beruf,Afrikanistin,A,,2.0
42,Beruf,Agentur,A,,1708.0
43,Beruf,Agenturleiter,A,,8.0
44,Beruf,Agenturleiterin,A,,1.0
45,Beruf,Agitator,A,,5.0
46,Beruf,Agrarbetriebswirt,A,,1.0
47,Beruf,Agrarbetriebswirtin,A,,1.0
48,Beruf,Agraringenieur,A,,10.0
49,Beruf,Agrarminister,A,,38.0
50,Beruf,Agrarministerin,A,,12.0
51,Beruf,Agrarpolitiker,A,,1.0
52,Beruf,Agrarwirtschaftler,A,,1.0
53,Beruf,Agrarwissenschafterin,A,,1.0
54,Beruf,Agrarwissenschaftler,A,,6.0
55,Beruf,Agrarwissenschaftlerin,A,,1.0
56,Beruf,Agrarökonomin,A,,2.0
57,Beruf,Agrikulturchemiker,A,,1.0
58,Beruf,Agronom,A,,1.0
59,Beruf,Agrotechniker,A,,3.0
60,Beruf,Ahnenforscher,A,,2.0
61,Beruf,Akademiedirektor,A,,3.0
62,Beruf,Akademiedirektorin,A,,4.0
63,Beruf,Akademieleiter,A,,3.0
64,Beruf,Akademieleiterin,A,,1.0
65,Beruf,Akademiepräsident,A,,2.0
66,Beruf,Akademiker,A,,150.0
67,Beruf,Akademischer Direktor,A,,2.0
68,Beruf,Akkordeonbauer,A,,1.0
69,Beruf,Akkordeonist,A,,3.0
70,Beruf,Akkordeonspieler,A,,5.0
71,Beruf,Akkordeonspielerin,A,,1.0
