Category,Word,FirstLetter,Word,Freq
Fluss,Aa,A,Aa,22
Fluss,Aabach,A,Aabach,3
Fluss,Aabachtalsperre,A,Aabachtalsperre,1
Fluss,Aachener Weiher,A,Aachener Weiher,3
Fluss,Aal,A,Aal,39
Fluss,Aalbach,A,Aalbach,2
Fluss,Aalenbach,A,Aalenbach,1
Fluss,Aar,A,Aar,8
Fluss,Aartalsee,A,Aartalsee,2
Fluss,Aasee,A,Aasee,13
Fluss,Abelitz-Moordorf-Kanal,A,Abelitz-Moordorf-Kanal,1
Fluss,Abens,A,Abens,4
Fluss,Ablach,A,Ablach,6
Fluss,Ableiter,A,Ableiter,4
Fluss,Ableitung,A,Ableitung,239
Fluss,Abzugsgraben,A,Abzugsgraben,2
Fluss,Ach,A,Ach,309
Fluss,Achen,A,Achen,2
Fluss,Acher,A,Acher,5
Fluss,Achtersee,A,Achtersee,2
Fluss,Achterwasser,A,Achterwasser,5
Fluss,Achterwehrer Schifffahrtskanal,A,Achterwehrer Schifffahrtskanal,1
Fluss,Acker,A,Acker,236
Fluss,Adda,A,Adda,5
Fluss,Adolfosee,A,Adolfosee,1
Fluss,Adria,A,Adria,124
Fluss,Afte,A,Afte,2
Fluss,Aga,A,Aga,10
Fluss,Agenbach,A,Agenbach,2
Fluss,Agger,A,Agger,6
Fluss,Aggertalsperre,A,Aggertalsperre,2
Fluss,Ahbach,A,Ahbach,4
Fluss,Ahe,A,Ahe,4
Fluss,Ahle,A,Ahle,9
Fluss,Ahlhorner Fischteiche,A,Ahlhorner Fischteiche,1
Fluss,Ahne,A,Ahne,7
Fluss,Ahr,A,Ahr,57
Fluss,Ahrbeck,A,Ahrbeck,1
Fluss,Ahrquelle,A,Ahrquelle,1
Fluss,Ahse,A,Ahse,2
Fluss,Aich,A,Aich,11
Fluss,Aid,A,Aid,38
Fluss,Aidenbach,A,Aidenbach,3
Fluss,Aileswasensee,A,Aileswasensee,1
Fluss,Ailsbach,A,Ailsbach,1
Fluss,Aisch,A,Aisch,40
Fluss,Aisch-Flutkanal,A,Aisch-Flutkanal,1
Fluss,Aischbach,A,Aischbach,1
Fluss,Aiterach,A,Aiterach,1
Fluss,Aiterbach,A,Aiterbach,2
Fluss,Aitnach,A,Aitnach,1
Fluss,Aitrach,A,Aitrach,10
Fluss,Aland,A,Aland,10
Fluss,Alb,A,Alb,197
Fluss,Albach,A,Albach,2
Fluss,Albersbach,A,Albersbach,1
Fluss,Albertquelle,A,Albertquelle,1
Fluss,Albertsee,A,Albertsee,2
Fluss,Albstausee,A,Albstausee,2
Fluss,Aldersbach,A,Aldersbach,4
Fluss,Alfsee,A,Alfsee,6
Fluss,Aller,A,Aller,149
Fluss,Allermöher See,A,Allermöher See,3
Fluss,Allermöher See,A,Allermöher See,3
Fluss,Allersee,A,Allersee,4
Fluss,Allmersbach,A,Allmersbach,2
Fluss,Allner See,A,Allner See,1
Fluss,Almbach,A,Almbach,3
Fluss,Alme,A,Alme,10
Fluss,Alpbach,A,Alpbach,17
Fluss,Alpe,A,Alpe,53
Fluss,Alperstedter See,A,Alperstedter See,2
Fluss,Alpsee,A,Alpsee,19
Fluss,Alsenz,A,Alsenz,10
Fluss,Alster,A,Alster,80
Fluss,Alsterfleet,A,Alsterfleet,1
Fluss,Alsterquelle,A,Alsterquelle,3
Fluss,Altach,A,Altach,69
Fluss,Altarm,A,Altarm,13
Fluss,Altbach,A,Altbach,6
Fluss,Altdöberner See,A,Altdöberner See,1
Fluss,Alte Aller,A,Alte Aller,1
Fluss,Alte Bach,A,Alte Bach,1
Fluss,Alte Donau,A,Alte Donau,3
Fluss,Alte Donau,A,Alte Donau,5
Fluss,Alte Elbe,A,Alte Elbe,2
Fluss,Alte Elster,A,Alte Elster,2
Fluss,Alte Kirche,A,Alte Kirche,10
Fluss,Alte Kirche,A,Alte Kirche,15
Fluss,Alte Landwehr,A,Alte Landwehr,1
Fluss,Alte Leine,A,Alte Leine,1
Fluss,Alte Oder,A,Alte Oder,1
Fluss,Alte Röder,A,Alte Röder,1
Fluss,Altenau,A,Altenau,21
Fluss,Altenbach,A,Altenbach,7
Fluss,Altendorfer Bach,A,Altendorfer Bach,1
Fluss,Alter,A,Alter,9541
Fluss,Alter Hafen,A,Alter Hafen,2
Fluss,Alter Rhin,A,Alter Rhin,1
Fluss,Altern,A,Altern,155
Fluss,Altersbach,A,Altersbach,5
Fluss,Alting,A,Alting,2
Fluss,Altlauf,A,Altlauf,1
Fluss,Altmühl,A,Altmühl,21
Fluss,Altmühlsee,A,Altmühlsee,12
Fluss,Altrhein,A,Altrhein,15
Fluss,Altrheinsee,A,Altrheinsee,1
Fluss,Altrheinzug,A,Altrheinzug,1
Fluss,Altwarmbüchener See,A,Altwarmbüchener See,2
Fluss,Altwasser,A,Altwasser,6
Fluss,Alz,A,Alz,6
Fluss,Ambach,A,Ambach,5
Fluss,Ammer,A,Ammer,30
Fluss,Ammerbach,A,Ammerbach,1
Fluss,Ammersbek,A,Ammersbek,2
Fluss,Ammersee,A,Ammersee,67
Fluss,Amorbach,A,Amorbach,12
Fluss,Amper,A,Amper,28
Fluss,Ampfrach,A,Ampfrach,3
Fluss,Amselfall,A,Amselfall,1
Fluss,Andelsbach,A,Andelsbach,2
Fluss,Angel,A,Angel,186
Fluss,Angelsee,A,Angelsee,2
Fluss,Angelteich,A,Angelteich,8
Fluss,Anger,A,Anger,97
Fluss,Angerbach,A,Angerbach,5
Fluss,Angergraben,A,Angergraben,1
Fluss,Anglersee,A,Anglersee,4
Fluss,Anhauser Bach,A,Anhauser Bach,1
Fluss,Anlauter,A,Anlauter,2
Fluss,Apfelbach,A,Apfelbach,1
Fluss,Apfelsee,A,Apfelsee,1
Fluss,Apfelstädt,A,Apfelstädt,3
Fluss,Appel,A,Appel,40
Fluss,Appelbach,A,Appelbach,1
Fluss,Arbach,A,Arbach,2
Fluss,Arbersee,A,Arbersee,13
Fluss,Arendsee,A,Arendsee,13
Fluss,Argen,A,Argen,24
Fluss,Arlau-Speicherbecken,A,Arlau-Speicherbecken,1
Fluss,Arpe,A,Arpe,3
Fluss,Arzbach,A,Arzbach,15
Fluss,Asbach,A,Asbach,19
Fluss,Ascha,A,Ascha,1
Fluss,Aschach,A,Aschach,16
Fluss,Aschaff,A,Aschaff,2
Fluss,Aschau,A,Aschau,18
Fluss,Aschbach,A,Aschbach,16
Fluss,Aschenbach,A,Aschenbach,16
Fluss,Asse,A,Asse,52
Fluss,Assuan,A,Assuan,13
Fluss,Attel,A,Attel,3
Fluss,Attersee,A,Attersee,36
Fluss,Atzenbach,A,Atzenbach,5
Fluss,Au,A,Au,199
Fluss,Aubach,A,Aubach,10
Fluss,Aue,A,Aue,392
Fluss,Auebach,A,Auebach,1
Fluss,Auelsbach,A,Auelsbach,1
Fluss,Auensee,A,Auensee,6
Fluss,Auer Mühlbach,A,Auer Mühlbach,1
Fluss,Auerbach,A,Auerbach,105
Fluss,Auesee,A,Auesee,4
Fluss,Aufseß,A,Aufseß,8
Fluss,Augraben,A,Augraben,2
Fluss,Aula,A,Aula,490
Fluss,Aulbach,A,Aulbach,3
Fluss,Auma,A,Auma,12
Fluss,Aumühlbach,A,Aumühlbach,1
Fluss,Aura,A,Aura,134
Fluss,Aurach,A,Aurach,15
Fluss,Ausbach,A,Ausbach,1
Fluss,Ausee,A,Ausee,2
Fluss,Ausgleichsbecken,A,Ausgleichsbecken,1
Fluss,Ausreißer,A,Ausreißer,87
Fluss,Außenalster,A,Außenalster,23
Fluss,Außenweser,A,Außenweser,2
Fluss,Auteich,A,Auteich,1
Fluss,Auter,A,Auter,1
Fluss,Auw,A,Auw,8
Fluss,Auwaldsee,A,Auwaldsee,3
Fluss,Axt,A,Axt,135
Fluss,Axtbach,A,Axtbach,1
Fluss,Bach,B,Bach,1287
Fluss,Bache,B,Bache,13
Fluss,Bachgraben,B,Bachgraben,3
Fluss,Bachkanal,B,Bachkanal,1
Fluss,Bäck,B,Bäck,4
Fluss,Bad,B,Bad,6483
Fluss,Bade,B,Bade,37
Fluss,Baderbach,B,Baderbach,2
Fluss,Badersee,B,Badersee,1
Fluss,Badesee,B,Badesee,100
Fluss,Badeteich,B,Badeteich,5
Fluss,Badewasser,B,Badewasser,21
Fluss,Badeweiher,B,Badeweiher,6
Fluss,Baeck,B,Baeck,17
Fluss,Baggersee,B,Baggersee,45
Fluss,Bahra,B,Bahra,2
Fluss,Bahre,B,Bahre,16
Fluss,Bäke,B,Bäke,3
Fluss,Balbach,B,Balbach,2
Fluss,Baldeneysee,B,Baldeneysee,22
Fluss,Balge,B,Balge,6
Fluss,Balksee,B,Balksee,2
Fluss,Balmer See,B,Balmer See,1
Fluss,Bambach,B,Bambach,2
Fluss,Banfe,B,Banfe,2
Fluss,Bänischsee,B,Bänischsee,1
Fluss,Banter See,B,Banter See,3
Fluss,Bära,B,Bära,1
Fluss,Barbarakanal,B,Barbarakanal,2
Fluss,Bärenbach,B,Bärenbach,5
Fluss,Bärengraben,B,Bärengraben,3
Fluss,Bärensee,B,Bärensee,3
Fluss,Barget,B,Barget,1
Fluss,Bärnbach,B,Bärnbach,7
Fluss,Barnitz,B,Barnitz,1
Fluss,Bärnsee,B,Bärnsee,2
Fluss,Barsbeker See,B,Barsbeker See,1
Fluss,Barthe,B,Barthe,5
Fluss,Bärwalder See,B,Bärwalder See,4
Fluss,Bärwalder See,B,Bärwalder See,7
Fluss,Bastau,B,Bastau,1
Fluss,Bauernsee,B,Bauernsee,1
Fluss,Bauersee,B,Bauersee,2
Fluss,Baumbach,B,Baumbach,19
Fluss,Bauna,B,Bauna,1
Fluss,Baunach,B,Baunach,9
Fluss,Bayerbach,B,Bayerbach,2
Fluss,Beber,B,Beber,1
Fluss,Beberbach,B,Beberbach,2
Fluss,Bebersee,B,Bebersee,1
Fluss,Bebra,B,Bebra,39
Fluss,Beck,B,Beck,565
Fluss,Becke,B,Becke,17
Fluss,Beeckbach,B,Beeckbach,2
Fluss,Beeckfließ,B,Beeckfließ,1
Fluss,Beek,B,Beek,25
Fluss,Beeke,B,Beeke,5
Fluss,Beerbach,B,Beerbach,3
Fluss,Beetzsee,B,Beetzsee,8
Fluss,Bega,B,Bega,15
Fluss,Bek,B,Bek,10
Fluss,Beke,B,Beke,9
Fluss,Belauer See,B,Belauer See,1
Fluss,Bellenkrappen,B,Bellenkrappen,1
Fluss,Benfe,B,Benfe,3
Fluss,Bennebek,B,Bennebek,1
Fluss,Bentreff,B,Bentreff,1
Fluss,Bere,B,Bere,2
Fluss,Berenbosteler See,B,Berenbosteler See,1
Fluss,Berfa,B,Berfa,1
Fluss,Bergbach,B,Bergbach,2
Fluss,Bergheider See,B,Bergheider See,1
Fluss,Bergsee,B,Bergsee,28
Fluss,Bergwitzsee,B,Bergwitzsee,1
Fluss,Berka,B,Berka,25
Fluss,Berke,B,Berke,8
Fluss,Berkel,B,Berkel,22
Fluss,Berlebecke,B,Berlebecke,2
Fluss,Berlin-Spandauer Schifffahrtskanal,B,Berlin-Spandauer Schifffahrtskanal,1
Fluss,Berlinchener See,B,Berlinchener See,1
Fluss,Berliner See,B,Berliner See,2
Fluss,Bermbach,B,Bermbach,2
Fluss,Bernbach,B,Bernbach,11
Fluss,Berne,B,Berne,13
Fluss,Bernsteinsee,B,Bernsteinsee,2
Fluss,Berste,B,Berste,1
Fluss,Bertasee,B,Bertasee,3
Fluss,Berumerfehnkanal,B,Berumerfehnkanal,1
Fluss,Berzdorfer See,B,Berzdorfer See,12
Fluss,Berzdorfer See,B,Berzdorfer See,12
Fluss,Bessenbach,B,Bessenbach,6
Fluss,Beste,B,Beste,1339
Fluss,Beuerbach,B,Beuerbach,1
Fluss,Beuster,B,Beuster,6
Fluss,Beutelsbach,B,Beutelsbach,10
Fluss,Beuthenfall,B,Beuthenfall,1
Fluss,Bever,B,Bever,8
Fluss,Beverbach,B,Beverbach,2
Fluss,Beverlake,B,Beverlake,2
Fluss,Beversee,B,Beversee,2
Fluss,Bewer,B,Bewer,2
Fluss,Bexbach,B,Bexbach,13
Fluss,Bibart,B,Bibart,6
Fluss,Biber,B,Biber,205
Fluss,Biberach,B,Biberach,311
Fluss,Biberbach,B,Biberbach,20
Fluss,Bibers,B,Bibers,15
Fluss,Bibert,B,Bibert,1
Fluss,Bibisee,B,Bibisee,3
Fluss,Bibra,B,Bibra,17
Fluss,Bichelbach,B,Bichelbach,1
Fluss,Bieber,B,Bieber,78
Fluss,Bieberbach,B,Bieberbach,7
Fluss,Biebergraben,B,Biebergraben,1
Fluss,Biebrichsbach,B,Biebrichsbach,1
Fluss,Biederbach,B,Biederbach,1
Fluss,Bieke,B,Bieke,1
Fluss,Biela,B,Biela,5
Fluss,Bielshövensand,B,Bielshövensand,1
Fluss,Bierbach,B,Bierbach,9
Fluss,Biese,B,Biese,7
Fluss,Bieselfließ,B,Bieselfließ,1
Fluss,Biewerbach,B,Biewerbach,1
Fluss,Bigge,B,Bigge,17
Fluss,Biggetalsperre,B,Biggetalsperre,1
Fluss,Bille,B,Bille,25
Fluss,Billerbach,B,Billerbach,1
Fluss,Billerbeck,B,Billerbeck,69
Fluss,Bimbach,B,Bimbach,6
Fluss,Bina,B,Bina,6
Fluss,Binnenalster,B,Binnenalster,16
Fluss,Binnensee,B,Binnensee,15
Fluss,Binsenteich,B,Binsenteich,1
Fluss,Birkach,B,Birkach,5
Fluss,Birkenbach,B,Birkenbach,5
Fluss,Birkensee,B,Birkensee,2
Fluss,Birlenbach,B,Birlenbach,1
Fluss,Birnbach,B,Birnbach,12
Fluss,Bist,B,Bist,196
Fluss,Bistensee,B,Bistensee,2
Fluss,Bitsche,B,Bitsche,2
Fluss,Bitze,B,Bitze,1
Fluss,Blanke,B,Blanke,16
Fluss,Blankenburger See,B,Blankenburger See,1
Fluss,Blankensee,B,Blankensee,12
Fluss,Blasbach,B,Blasbach,1
Fluss,Blattsee,B,Blattsee,1
Fluss,Blau,B,Blau,667
Fluss,Blaubach,B,Blaubach,2
Fluss,Blaue Adria,B,Blaue Adria,1
Fluss,Blaue Flut,B,Blaue Flut,1
Fluss,Blaue Lagune,B,Blaue Lagune,3
Fluss,Blaue Lagune,B,Blaue Lagune,6
Fluss,Blaues Auge,B,Blaues Auge,2
Fluss,Blausee,B,Blausee,1
Fluss,Blausteinsee,B,Blausteinsee,2
Fluss,Blautopf,B,Blautopf,8
Fluss,Bleibach,B,Bleibach,3
Fluss,Bleichbach,B,Bleichbach,1
Fluss,Bleiche,B,Bleiche,27
Fluss,Bleichenbach,B,Bleichenbach,1
Fluss,Bleichgraben,B,Bleichgraben,1
Fluss,Bleidenbach,B,Bleidenbach,1
Fluss,Blender Emte,B,Blender Emte,1
Fluss,Bliensbach,B,Bliensbach,1
Fluss,Blies,B,Blies,13
Fluss,Blinde Rot,B,Blinde Rot,2
Fluss,Blink,B,Blink,8
Fluss,Blitz,B,Blitz,251
Fluss,Blumberger Damm,B,Blumberger Damm,2
Fluss,Blumenthaler Aue,B,Blumenthaler Aue,1
Fluss,Böber,B,Böber,1
Fluss,Boberow,B,Boberow,2
Fluss,Bobritzsch,B,Bobritzsch,21
Fluss,Bocholter Aa,B,Bocholter Aa,2
Fluss,Bocka,B,Bocka,1
Fluss,Bode,B,Bode,92
Fluss,Bodenbach,B,Bodenbach,1
Fluss,Bodensee,B,Bodensee,605
Fluss,Bogenbach,B,Bogenbach,1
Fluss,Bogensee,B,Bogensee,5
Fluss,Böhme,B,Böhme,88
Fluss,Boize,B,Boize,2
Fluss,Bokeler Au,B,Bokeler Au,1
Fluss,Boker Kanal,B,Boker Kanal,1
Fluss,Bolgenach,B,Bolgenach,1
